@relation training_tutorial1
@attribute diff numeric
@attribute totalScore numeric
@attribute POSx numeric
@attribute POSy numeric
@attribute module numeric
@attribute angle numeric
@attribute direction {Stop,East,West,North,South}
@attribute wall_ahead {True,False}
@attribute G1_POSX numeric
@attribute G1_POSY numeric
@attribute G2_POSX numeric
@attribute G2_POSY numeric
@attribute G3_POSX numeric
@attribute G3_POSY numeric
@attribute G4_POSX numeric
@attribute G4_POSY numeric
@attribute ALIVE_G1 {True,False}
@attribute ALIVE_G2 {True,False}
@attribute ALIVE_G3 {True,False}
@attribute ALIVE_G4 {True,False}
@attribute ghost_count numeric
@attribute G1_DIST numeric
@attribute G2_DIST numeric
@attribute G3_DIST numeric
@attribute G4_DIST numeric
@attribute closest_posX numeric
@attribute closest_posY numeric
@attribute G1_CLOSE {True,False}
@attribute G2_CLOSE {True,False}
@attribute G3_CLOSE {True,False}
@attribute G4_CLOSE {True,False}
@attribute ghost_is_close {True,False}
@attribute action {Stop, East, West, North, South}
@data
-1,187,14,7,2.0,180.0,West,False,8,7,6,13,12,7,7,1,True,True,True,False,0,6,14,2,0,12,7,False,False,False,False,False,West
-1,186,13,7,1.41,135.0,West,False,8,7,6,12,12,8,7,1,True,True,True,False,1,5,12,2,0,12,8,True,False,False,False,True,North
-1,185,13,8,2.0,180.0,North,False,8,8,6,11,11,8,7,1,True,True,True,False,0,5,10,2,0,11,8,False,False,False,False,False,West
-1,184,12,8,2.0,180.0,West,False,8,9,7,11,10,8,7,1,True,True,True,False,0,5,8,2,0,10,8,False,False,False,False,False,West
-1,183,11,8,1.41,-135.0,West,False,9,9,7,12,10,7,7,1,True,True,True,False,1,3,8,2,0,10,7,True,False,False,False,True,South
-1,182,11,7,1.41,-135.0,South,False,8,9,7,12,10,6,7,1,True,True,True,False,1,5,9,2,0,10,6,True,False,False,False,True,South
-1,181,11,6,1.41,-135.0,South,False,8,8,8,12,10,5,7,1,True,True,True,False,1,5,9,2,0,10,5,True,False,False,False,True,South
199,380,11,5,5.0,126.87,South,False,8,9,9,12,5,1,7,1,True,True,False,False,0,7,9,0,0,8,9,False,False,False,False,False,North
-1,379,11,6,3.61,146.31,North,False,8,8,9,13,5,1,7,1,True,True,False,False,0,5,9,0,0,8,8,False,False,False,False,False,North
-1,378,11,7,4.12,165.96,North,False,7,8,8,13,5,1,7,1,True,True,False,False,0,5,9,0,0,7,8,False,False,False,False,False,North
-1,377,11,8,3.0,180.0,North,False,8,8,9,13,5,1,7,1,True,True,False,False,0,3,7,0,0,8,8,False,False,False,False,False,West
-1,376,10,8,2.24,-153.43,West,False,8,7,9,13,5,1,7,1,True,True,False,False,1,3,6,0,0,8,7,False,False,True,False,True,South
-1,375,10,7,2.24,-153.43,South,False,8,6,8,13,5,1,7,1,True,True,False,False,1,3,8,0,0,8,6,False,False,True,False,True,South
-1,374,10,6,2.0,180.0,South,False,8,6,7,13,5,1,7,1,True,True,False,False,0,2,10,0,0,8,6,False,False,False,False,False,West
-1,373,9,6,1.41,135.0,West,False,8,7,7,12,5,1,7,1,True,True,False,False,1,2,8,0,0,8,7,True,False,False,False,True,North
-1,372,9,7,1.41,-135.0,North,False,8,6,8,12,5,1,7,1,True,True,False,False,1,2,6,0,0,8,6,True,False,False,False,True,South
-1,371,9,6,1.0,180.0,South,False,8,6,8,13,5,1,7,1,True,True,False,False,1,1,8,0,0,8,6,True,False,False,False,True,West
199,570,8,6,7.07,81.87,West,False,1,1,9,13,5,1,7,1,False,True,False,False,1,0,8,0,0,9,13,False,True,False,False,True,North
-1,569,8,7,6.0,90.0,North,False,1,1,8,13,5,1,7,1,False,True,False,False,0,0,6,0,0,8,13,False,False,False,False,False,North
-1,568,8,8,6.0,90.0,North,False,1,1,8,14,5,1,7,1,False,True,False,False,0,0,6,0,0,8,14,False,False,False,False,False,North
-1,567,8,9,5.0,90.0,North,False,1,1,8,14,5,1,7,1,False,True,False,False,0,0,5,0,0,8,14,False,False,False,False,False,North
-1,566,8,10,3.0,90.0,North,False,1,1,8,13,5,1,7,1,False,True,False,False,0,0,3,0,0,8,13,False,False,False,False,False,North
-1,565,8,11,3.0,90.0,North,False,1,1,8,14,5,1,7,1,False,True,False,False,0,0,3,0,0,8,14,False,False,False,False,False,North
-1,564,8,12,1.0,90.0,North,False,1,1,8,13,5,1,7,1,False,True,False,False,0,0,1,0,0,8,13,False,False,False,False,False,North
199,763,8,13,0.0,90.0,North,False,1,1,8,13,5,1,7,1,False,False,False,False,0,0,0,0,0,0,0,False,False,False,False,False,Stop
0,0,12,10,2.24,63.43,Stop,False,5,6,5,12,13,6,13,12,True,True,True,True,1,11,9,5,3,13,12,False,True,False,False,True,North
-1,-1,12,11,1.41,45.0,North,False,5,5,5,12,13,7,13,12,True,True,True,True,1,13,8,5,1,13,12,False,True,False,False,True,North
199,198,12,12,5.0,-90.0,North,False,4,5,5,12,12,7,7,1,True,True,True,False,0,15,7,5,0,12,7,False,False,False,False,False,South
-1,197,12,11,4.0,-90.0,South,False,5,5,5,11,12,7,7,1,True,True,True,False,0,13,7,4,0,12,7,False,False,False,False,False,South
-1,196,12,10,4.0,-90.0,South,False,6,5,6,11,12,6,7,1,True,True,True,False,0,11,7,4,0,12,6,False,False,False,False,False,South
-1,195,12,9,2.0,-90.0,South,False,5,5,6,12,12,7,7,1,True,True,True,False,0,11,9,2,0,12,7,False,False,False,False,False,South
-1,194,12,8,1.41,-45.0,South,False,5,5,7,12,13,7,7,1,True,True,True,False,1,10,9,2,0,13,7,False,True,False,False,True,South
-1,193,12,7,1.41,45.0,South,False,4,5,8,12,13,8,7,1,True,True,True,False,1,10,9,2,0,13,8,False,True,False,False,True,North
-1,192,12,8,2.0,0.0,North,False,3,5,9,12,14,8,7,1,True,True,True,False,0,12,7,2,0,14,8,False,False,False,False,False,East
-1,191,13,8,1.41,45.0,East,False,3,5,8,12,14,9,7,1,True,True,True,False,1,13,9,2,0,14,9,False,True,False,False,True,North
-1,190,13,9,1.41,45.0,North,False,4,5,7,12,14,10,7,1,True,True,True,False,1,13,9,2,0,14,10,False,True,False,False,True,North
-1,189,13,10,1.41,-45.0,North,False,4,5,7,13,14,9,7,1,True,True,True,False,1,14,9,2,0,14,9,False,True,False,False,True,South
-1,188,13,9,1.41,-45.0,South,False,4,6,7,12,14,8,7,1,True,True,True,False,1,12,9,2,0,14,8,False,True,False,False,True,South
-1,187,13,8,2.0,0.0,South,False,4,6,7,13,15,8,7,1,True,True,True,False,0,11,11,2,0,15,8,False,False,False,False,False,East
-1,186,14,8,1.0,0.0,East,False,3,6,7,13,15,8,7,1,True,True,True,False,1,13,12,1,0,15,8,False,True,False,False,True,East
199,385,15,8,8.6,144.46,East,False,3,5,8,13,5,1,7,1,True,True,False,False,0,15,12,0,0,8,13,False,False,False,False,False,North
-1,384,15,9,7.21,146.31,North,False,4,5,9,13,5,1,7,1,True,True,False,False,0,15,10,0,0,9,13,False,False,False,False,False,North
-1,383,15,10,6.32,161.57,North,False,4,5,9,12,5,1,7,1,True,True,False,False,0,16,8,0,0,9,12,False,False,False,False,False,North
-1,382,15,11,6.32,161.57,North,False,5,5,9,13,5,1,7,1,True,True,False,False,0,16,8,0,0,9,13,False,False,False,False,False,North
-1,381,15,12,5.1,168.69,North,False,5,6,10,13,5,1,7,1,True,True,False,False,0,16,6,0,0,10,13,False,False,False,False,False,North
-1,380,15,13,5.0,180.0,North,False,5,5,10,13,5,1,7,1,True,True,False,False,0,18,5,0,0,10,13,False,False,False,False,False,West
-1,379,14,13,3.0,180.0,West,False,5,5,11,13,5,1,7,1,True,True,False,False,0,17,3,0,0,11,13,False,False,False,False,False,West
-1,378,13,13,2.24,-153.43,West,False,4,5,11,12,5,1,7,1,True,True,False,False,1,17,3,0,0,11,12,False,False,True,False,True,South
-1,377,13,12,1.0,180.0,South,False,4,4,12,12,5,1,7,1,True,True,False,False,1,17,1,0,0,12,12,True,False,False,False,True,West
199,576,12,12,12.04,-131.63,West,False,4,3,3,1,5,1,7,1,True,False,False,False,0,17,0,0,0,4,3,False,False,False,False,False,South
-1,575,12,11,10.63,-131.19,South,False,5,3,3,1,5,1,7,1,True,False,False,False,0,15,0,0,0,5,3,False,False,False,False,False,South
-1,574,12,10,9.22,-130.6,South,False,6,3,3,1,5,1,7,1,True,False,False,False,0,13,0,0,0,6,3,False,False,False,False,False,South
-1,573,12,9,9.22,-139.4,South,False,5,3,3,1,5,1,7,1,True,False,False,False,0,13,0,0,0,5,3,False,False,False,False,False,South
-1,572,12,8,9.43,-147.99,South,False,4,3,3,1,5,1,7,1,True,False,False,False,0,13,0,0,0,4,3,False,False,False,False,False,South
-1,571,12,7,9.85,-156.04,South,False,3,3,3,1,5,1,7,1,True,False,False,False,0,13,0,0,0,3,3,False,False,False,False,False,South
-1,570,12,6,8.54,-159.44,South,False,4,3,3,1,5,1,7,1,True,False,False,False,0,11,0,0,0,4,3,False,False,False,False,False,South
-1,569,12,5,8.25,-165.96,South,False,4,3,3,1,5,1,7,1,True,False,False,False,0,10,0,0,0,4,3,False,False,False,False,False,South
-1,568,12,4,7.07,-171.87,South,False,5,3,3,1,5,1,7,1,True,False,False,False,1,8,0,0,0,5,3,False,False,True,False,True,South
-1,567,12,3,6.0,180.0,South,False,6,3,3,1,5,1,7,1,True,False,False,False,0,6,0,0,0,6,3,False,False,False,False,False,West
-1,566,11,3,6.0,180.0,West,False,5,3,3,1,5,1,7,1,True,False,False,False,0,6,0,0,0,5,3,False,False,False,False,False,West
-1,565,10,3,4.0,180.0,West,False,6,3,3,1,5,1,7,1,True,False,False,False,0,4,0,0,0,6,3,False,False,False,False,False,West
-1,564,9,3,3.16,161.57,West,False,6,4,3,1,5,1,7,1,True,False,False,False,0,4,0,0,0,6,4,False,False,False,False,False,North
-1,563,9,4,3.16,-161.57,North,False,6,3,3,1,5,1,7,1,True,False,False,False,1,4,0,0,0,6,3,False,False,True,False,True,South
-1,562,9,3,3.0,180.0,South,False,6,3,3,1,5,1,7,1,True,False,False,False,0,3,0,0,0,6,3,False,False,False,False,False,West
-1,561,8,3,2.0,180.0,West,False,6,3,3,1,5,1,7,1,True,False,False,False,0,2,0,0,0,6,3,False,False,False,False,False,West
-1,560,7,3,2.0,180.0,West,False,5,3,3,1,5,1,7,1,True,False,False,False,0,2,0,0,0,5,3,False,False,False,False,False,West
-1,559,6,3,1.41,135.0,West,False,5,4,3,1,5,1,7,1,True,False,False,False,1,2,0,0,0,5,4,True,False,False,False,True,North
-1,558,6,4,1.0,180.0,North,False,5,4,3,1,5,1,7,1,True,False,False,False,1,1,0,0,0,5,4,True,False,False,False,True,West
199,757,5,4,0.0,180.0,North,False,5,4,3,1,5,1,7,1,False,False,False,False,0,0,0,0,0,0,0,True,False,False,False,False,Stop
0,0,12,10,2.24,63.43,Stop,False,5,6,5,12,13,6,13,12,True,True,True,True,1,11,9,5,3,13,12,False,True,False,False,True,North
-1,-1,12,11,1.41,45.0,North,False,6,6,6,12,12,6,13,12,True,True,True,True,1,11,7,5,1,13,12,False,True,False,False,True,North
199,198,12,12,5.0,180.0,North,False,6,5,7,12,12,5,7,1,True,True,True,False,0,13,5,7,0,7,12,False,False,False,False,False,West
-1,197,11,12,3.0,180.0,West,False,6,6,8,12,12,4,7,1,True,True,True,False,0,11,3,9,0,8,12,False,False,False,False,False,West
-1,196,10,12,2.0,180.0,West,False,7,6,8,12,11,4,7,1,True,True,True,False,0,9,2,9,0,8,12,False,False,False,False,False,West
-1,195,9,12,1.41,135.0,West,False,7,6,8,13,10,4,7,1,True,True,True,False,1,8,2,9,0,8,13,True,False,False,False,True,North
-1,194,9,13,1.41,135.0,North,False,7,6,8,14,11,4,7,1,True,True,True,False,1,9,2,11,0,8,14,True,False,False,False,True,North
199,393,9,14,8.25,-104.04,North,False,7,6,3,1,11,3,7,1,True,False,True,False,0,10,0,13,0,7,6,False,False,False,False,False,South
-1,392,9,13,7.07,-98.13,South,False,8,6,3,1,12,3,7,1,True,False,True,False,1,8,0,13,0,8,6,True,False,False,False,True,South
-1,391,9,12,6.32,-108.43,South,False,7,6,3,1,12,3,7,1,True,False,True,False,0,8,0,12,0,7,6,False,False,False,False,False,South
-1,390,9,11,6.32,-108.43,South,False,7,5,3,1,11,3,7,1,True,False,True,False,0,8,0,10,0,7,5,False,False,False,False,False,South
-1,389,9,10,6.32,-108.43,South,False,7,4,3,1,11,4,7,1,True,False,True,False,0,8,0,8,0,7,4,False,False,False,False,False,West
