@relation training_keyboard_practica2-weka.filters.unsupervised.attribute.Remove-R34-64-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R32

@attribute totalScore numeric
@attribute POSx numeric
@attribute POSy numeric
@attribute module numeric
@attribute angle numeric
@attribute direction {Stop,East,West,North,South}
@attribute wall_ahead {True,False}
@attribute G1_POSX numeric
@attribute G1_POSY numeric
@attribute G2_POSX numeric
@attribute G2_POSY numeric
@attribute G3_POSX numeric
@attribute G3_POSY numeric
@attribute G4_POSX numeric
@attribute G4_POSY numeric
@attribute ALIVE_G1 {True,False}
@attribute ALIVE_G2 {True,False}
@attribute ALIVE_G3 {True,False}
@attribute ALIVE_G4 {True,False}
@attribute ghost_count numeric
@attribute G1_DIST numeric
@attribute G2_DIST numeric
@attribute G3_DIST numeric
@attribute G4_DIST numeric
@attribute closest_posX numeric
@attribute closest_posY numeric
@attribute G1_CLOSE {True,False}
@attribute G2_CLOSE {True,False}
@attribute G3_CLOSE {True,False}
@attribute G4_CLOSE {True,False}
@attribute ghost_is_close {True,False}

@data
363,9,4,12.08,24.44,East,False,1,1,3,1,20,9,21,10,False,False,True,True,2,0,0,16,19,20,9,False,False,False,False,False
362,10,4,10.77,21.8,East,False,1,1,3,1,20,8,22,10,False,False,True,True,2,0,0,14,18,20,8,False,False,False,False,False
361,11,4,9.85,23.96,East,False,1,1,3,1,20,8,22,10,False,False,True,True,2,0,0,13,16,20,8,False,False,False,False,False
360,12,4,9.43,32.01,East,False,1,1,3,1,20,9,22,9,False,False,True,True,2,0,0,13,14,20,9,False,False,False,False,False
359,12,5,9.43,32.01,North,False,1,1,3,1,20,10,22,8,False,False,True,True,2,0,0,13,13,20,10,False,False,False,False,False
358,12,6,9.85,23.96,North,False,1,1,3,1,21,10,22,8,False,False,True,True,2,0,0,13,13,21,10,False,False,False,False,False
357,12,7,8.54,20.56,North,False,1,1,3,1,20,10,23,8,False,False,True,True,2,0,0,11,11,20,10,False,False,False,False,False
356,13,7,8.06,29.74,East,False,1,1,3,1,20,11,22,8,False,False,True,True,2,0,0,11,11,20,11,False,False,False,False,False
355,14,7,6.71,26.57,East,False,1,1,3,1,20,10,22,9,False,False,True,True,2,0,0,9,10,20,10,False,False,False,False,False
354,15,7,5.39,21.8,East,False,1,1,3,1,20,9,22,9,False,False,True,True,2,0,0,7,10,20,9,False,False,False,False,False
353,16,7,5,36.87,East,False,1,1,3,1,20,10,23,9,False,False,True,True,2,0,0,7,9,20,10,False,False,False,False,False
352,17,7,4.24,45,East,False,1,1,3,1,20,10,23,9,False,False,True,True,2,0,0,6,7,20,10,False,False,False,False,False
351,18,7,2.83,45,East,False,1,1,3,1,20,9,22,9,False,False,True,True,2,0,0,4,5,20,9,False,False,False,False,False
350,18,8,3.16,18.43,North,False,1,1,3,1,21,9,21,9,False,False,True,True,2,0,0,4,5,21,9,False,False,False,False,False
349,19,8,2.24,26.57,East,False,1,1,3,1,21,9,22,9,False,False,True,True,2,0,0,3,5,21,9,False,False,False,False,False
348,20,8,2.24,63.43,East,False,1,1,3,1,21,10,23,9,False,False,True,True,2,0,0,3,4,21,10,False,True,False,False,True
347,21,8,2,90,East,False,1,1,3,1,21,10,23,9,False,False,True,True,2,0,0,2,4,21,10,False,False,False,False,False
346,22,8,2.24,63.43,East,False,1,1,3,1,20,10,23,10,False,False,True,True,2,0,0,4,2,23,10,False,True,False,False,True
345,23,8,1,90,East,False,1,1,3,1,20,9,23,9,False,False,True,True,2,0,0,4,2,23,9,False,False,False,False,False
344,23,9,1,180,North,False,1,1,3,1,19,9,22,9,False,False,True,True,2,0,0,4,2,22,9,True,False,False,False,True
343,23,10,2.24,-153.43,North,False,1,1,3,1,19,9,21,9,False,False,True,True,2,0,0,5,2,21,9,False,False,True,False,True
542,22,10,2.24,-153.43,West,False,1,1,3,1,20,9,21,10,False,False,True,False,1,0,0,3,0,20,9,False,False,True,False,True
541,21,10,2.24,-153.43,West,False,1,1,3,1,19,9,7,1,False,False,True,False,1,0,0,3,0,19,9,False,False,True,False,True
540,20,10,1.41,-135,West,False,1,1,3,1,19,9,7,1,False,False,True,False,1,0,0,2,0,19,9,True,False,False,False,True
539,20,9,2,180,South,False,1,1,3,1,18,9,7,1,False,False,True,False,1,0,0,2,0,18,9,False,False,False,False,False
538,20,8,2,180,South,False,1,1,3,1,18,8,7,1,False,False,True,False,1,0,0,2,0,18,8,False,False,False,False,False
0,4,12,8.6,-35.54,Stop,True,9,3,11,7,19,12,22,9,True,True,True,True,4,14,12,15,21,11,7,False,False,False,False,False
-1,4,12,9.43,-32.01,Stop,True,10,3,12,7,19,11,22,9,True,True,True,True,4,15,13,16,20,12,7,False,False,False,False,False
-2,4,12,9.43,-32.01,Stop,True,11,3,12,7,20,11,21,9,True,True,True,True,4,16,13,17,21,12,7,False,False,False,False,False
-3,4,12,10.3,-29.05,Stop,False,10,3,13,7,19,11,21,8,True,True,True,True,4,15,14,16,20,13,7,False,False,False,False,False
-4,5,12,8.94,-26.57,East,False,9,3,13,8,19,12,20,8,True,True,True,True,4,13,12,14,19,13,8,False,False,False,False,False
-5,6,12,8.94,-26.57,East,False,10,3,14,8,18,12,20,8,True,True,True,True,4,13,12,12,17,14,8,False,False,False,False,False
-6,7,12,9.49,-71.57,East,False,10,3,15,8,19,12,19,8,True,True,True,True,4,12,12,12,15,10,3,False,False,False,False,False
-7,7,11,7.62,-66.8,South,False,10,4,16,8,20,12,19,9,True,True,True,True,4,10,12,14,15,10,4,False,False,False,False,False
-8,7,10,5.83,-59.04,South,False,10,5,16,7,19,12,20,9,True,True,True,True,4,8,12,14,13,10,5,False,False,False,False,False
-9,7,9,4.47,-63.43,South,False,9,5,16,6,20,12,20,10,True,True,True,True,4,6,12,16,15,9,5,False,False,False,False,False
-10,7,8,3.16,-71.57,South,False,8,5,15,6,20,12,21,10,True,True,True,True,4,4,10,17,17,8,5,False,True,False,False,True
-11,7,7,2,-90,South,False,7,5,16,6,19,12,22,10,True,True,True,True,4,2,10,17,19,7,5,False,False,False,False,False
-12,7,6,2,-90,South,False,7,4,16,7,19,11,22,11,True,True,True,True,4,2,10,17,21,7,4,False,False,False,False,False
187,7,5,9.49,18.43,South,False,1,1,16,8,19,10,23,11,False,True,True,True,3,0,12,17,21,16,8,False,False,False,False,False
186,7,4,10.77,21.8,South,False,1,1,17,8,18,10,22,11,False,True,True,True,3,0,14,17,21,17,8,False,False,False,False,False
185,8,4,10.77,21.8,East,False,1,1,18,8,19,10,21,11,False,True,True,True,3,0,14,17,19,18,8,False,False,False,False,False
184,9,4,9.49,18.43,East,False,1,1,18,7,20,10,21,10,False,True,True,True,3,0,12,17,19,18,7,False,False,False,False,False
183,10,4,8.54,20.56,East,False,1,1,18,7,21,10,22,10,False,True,True,True,3,0,11,17,17,18,7,False,False,False,False,False
182,11,4,8.06,29.74,East,False,1,1,18,8,22,10,21,10,False,True,True,True,3,0,11,17,16,18,8,False,False,False,False,False
181,12,4,6.71,26.57,East,False,1,1,18,7,22,9,21,10,False,True,True,True,3,0,9,15,15,18,7,False,False,False,False,False
180,12,5,7.28,15.95,North,False,1,1,19,7,23,9,21,10,False,True,True,True,3,0,9,15,13,19,7,False,False,False,False,False
179,12,6,7.28,15.95,North,False,1,1,19,8,23,8,21,9,False,True,True,True,3,0,9,13,13,19,8,False,False,False,False,False
178,12,7,8.06,7.13,North,False,1,1,20,8,22,8,22,9,False,True,True,True,3,0,9,11,13,20,8,False,False,False,False,False
177,13,7,8.06,7.13,East,False,1,1,21,8,21,8,22,10,False,True,True,True,3,0,9,9,11,21,8,False,False,False,False,False
176,14,7,7,0,East,False,1,1,22,8,21,7,21,10,False,True,True,True,3,0,9,7,9,21,7,False,False,False,False,False
175,15,7,7,0,East,False,1,1,22,7,22,7,20,10,False,True,True,True,3,0,7,7,7,22,7,False,False,False,False,False
174,16,7,4.24,45,East,False,1,1,22,7,22,7,19,10,False,True,True,True,3,0,6,6,5,19,10,False,False,False,False,False
173,17,7,4,0,East,False,1,1,22,6,21,7,18,10,False,True,True,True,3,0,6,4,5,21,7,False,False,False,False,False
172,18,7,3,0,East,False,1,1,22,7,21,7,19,10,False,True,True,True,3,0,4,3,5,21,7,False,False,False,False,False
171,19,7,2,0,East,False,1,1,22,6,21,7,20,10,False,True,True,True,3,0,4,2,4,21,7,False,False,False,False,False
170,20,7,2,0,East,False,1,1,22,7,22,7,20,10,False,True,True,True,3,0,2,2,4,22,7,False,False,False,False,False
169,21,7,1.41,-45,East,False,1,1,22,6,22,8,21,10,False,True,True,True,3,0,2,2,4,22,6,False,True,False,False,True
