@relation training_keyboard_practica2
@attribute diff numeric
@attribute totalScore numeric
@attribute POSx numeric
@attribute POSy numeric
@attribute module numeric
@attribute angle numeric
@attribute direction {Stop,East,West,North,South}
@attribute wall_ahead {True,False}
@attribute G1_POSX numeric
@attribute G1_POSY numeric
@attribute G2_POSX numeric
@attribute G2_POSY numeric
@attribute G3_POSX numeric
@attribute G3_POSY numeric
@attribute G4_POSX numeric
@attribute G4_POSY numeric
@attribute ALIVE_G1 {True,False}
@attribute ALIVE_G2 {True,False}
@attribute ALIVE_G3 {True,False}
@attribute ALIVE_G4 {True,False}
@attribute ghost_count numeric
@attribute G1_DIST numeric
@attribute G2_DIST numeric
@attribute G3_DIST numeric
@attribute G4_DIST numeric
@attribute closest_posX numeric
@attribute closest_posY numeric
@attribute G1_CLOSE {True,False}
@attribute G2_CLOSE {True,False}
@attribute G3_CLOSE {True,False}
@attribute G4_CLOSE {True,False}
@attribute ghost_is_close {True,False}
@attribute action {Stop, East, West, North, South}
@attribute NEW_totalScore numeric
@attribute NEW_POSx numeric
@attribute NEW_POSy numeric
@attribute NEW_module numeric
@attribute NEW_angle numeric
@attribute NEW_direction {Stop,East,West,North,South}
@attribute NEW_wall_ahead {True,False}
@attribute NEW_G1_POSX numeric
@attribute NEW_G1_POSY numeric
@attribute NEW_G2_POSX numeric
@attribute NEW_G2_POSY numeric
@attribute NEW_G3_POSX numeric
@attribute NEW_G3_POSY numeric
@attribute NEW_G4_POSX numeric
@attribute NEW_G4_POSY numeric
@attribute NEW_ALIVE_G1 {True,False}
@attribute NEW_ALIVE_G2 {True,False}
@attribute NEW_ALIVE_G3 {True,False}
@attribute NEW_ALIVE_G4 {True,False}
@attribute NEW_ghost_count numeric
@attribute NEW_G1_DIST numeric
@attribute NEW_G2_DIST numeric
@attribute NEW_G3_DIST numeric
@attribute NEW_G4_DIST numeric
@attribute NEW_closest_posX numeric
@attribute NEW_closest_posY numeric
@attribute NEW_G1_CLOSE {True,False}
@attribute NEW_G2_CLOSE {True,False}
@attribute NEW_G3_CLOSE {True,False}
@attribute NEW_G4_CLOSE {True,False}
@attribute NEW_ghost_is_close {True,False}

@data
-1,166,4,5,5.1,-11.31,East,False,1,1,9,4,13,5,25,15,False,True,True,True,3,0,6,9,30,9,4,False,False,True,False,True,East,165,5,5,4.47,-26.57,East,True,1,1,9,3,13,4,24,15,False,True,True,True,3,0,6,9,30,9,3,False,False,False,False,False
-1,165,5,5,4.47,-26.57,East,True,1,1,9,3,13,4,24,15,False,True,True,True,3,0,6,9,30,9,3,False,False,False,False,False,Stop,164,5,5,4.12,-14.04,East,True,1,1,9,4,13,5,25,15,False,True,True,True,3,0,5,8,31,9,4,False,False,True,False,True
-1,164,5,5,4.12,-14.04,East,True,1,1,9,4,13,5,25,15,False,True,True,True,3,0,5,8,31,9,4,False,False,True,False,True,Stop,163,5,5,5.1,-11.31,East,False,1,1,10,4,13,5,25,16,False,True,True,True,3,0,6,8,32,10,4,False,False,True,False,True
-1,163,5,5,5.1,-11.31,East,False,1,1,10,4,13,5,25,16,False,True,True,True,3,0,6,8,32,10,4,False,False,True,False,True,North,162,5,6,5.39,-21.8,North,False,1,1,10,4,13,6,25,17,False,True,True,True,3,0,7,8,30,10,4,False,False,False,False,False
-1,162,5,6,5.39,-21.8,North,False,1,1,10,4,13,6,25,17,False,True,True,True,3,0,7,8,30,10,4,False,False,False,False,False,East,161,6,6,5.39,-21.8,East,False,1,1,11,4,13,7,25,16,False,True,True,True,3,0,7,8,29,11,4,False,False,False,False,False
-1,161,6,6,5.39,-21.8,East,False,1,1,11,4,13,7,25,16,False,True,True,True,3,0,7,8,29,11,4,False,False,False,False,False,East,160,7,6,5.0,-36.87,East,False,1,1,11,3,13,7,25,16,False,True,True,True,3,0,7,7,27,11,3,False,False,False,False,False
-1,160,7,6,5.0,-36.87,East,False,1,1,11,3,13,7,25,16,False,True,True,True,3,0,7,7,27,11,3,False,False,False,False,False,East,159,8,6,3.61,-33.69,East,False,1,1,11,4,14,7,24,16,False,True,True,True,3,0,5,7,27,11,4,False,False,False,False,False
-1,159,8,6,3.61,-33.69,East,False,1,1,11,4,14,7,24,16,False,True,True,True,3,0,5,7,27,11,4,False,False,False,False,False,South,158,8,5,3.61,-33.69,South,False,1,1,11,3,14,6,25,16,False,True,True,True,3,0,5,7,29,11,3,False,False,False,False,False
-1,158,8,5,3.61,-33.69,South,False,1,1,11,3,14,6,25,16,False,True,True,True,3,0,5,7,29,11,3,False,False,False,False,False,South,157,8,4,3.16,-18.43,South,False,1,1,11,3,14,6,25,17,False,True,True,True,3,0,4,8,31,11,3,False,False,True,False,True
-1,157,8,4,3.16,-18.43,South,False,1,1,11,3,14,6,25,17,False,True,True,True,3,0,4,8,31,11,3,False,False,True,False,True,South,156,8,3,3.0,0.0,South,False,1,1,11,3,14,7,25,18,False,True,True,True,3,0,3,10,31,11,3,False,False,False,False,False
